rate,f0,vowel,cents,engine,estimated_hz,confidence,cents_error
44100,90,oo,-100,legacy,84.99806084461503,0.9979447398851635,1.0059116505313122
44100,90,oo,-100,synchronous,84.9488471282066,0.9999818497833685,0.0032401112218774872
44100,90,oo,-100,spectral,84.94884893436026,0.9999811191294021,0.003276920134576466
44100,90,oo,25,legacy,91.28144294815421,0.9996085100638333,-0.5240847627454929
44100,90,oo,25,synchronous,91.30927309105824,0.9999993706104462,0.003658294558910596
44100,90,oo,25,spectral,91.30927079283832,0.999999366115031,0.0036147200509042098
44100,90,oo,100,legacy,95.29638763906003,0.9977596378192978,-1.0041687012130838
44100,90,oo,100,synchronous,95.35173166844751,0.999750889655475,0.0009654813595384945
44100,90,oo,100,spectral,95.35173530444955,0.9997497908090627,0.0010314976792646451
44100,90,oo,700,legacy,134.37247372795744,0.9204331414504088,-6.11113001348542
44100,90,oo,700,synchronous,134.8482713913676,0.9999987155741266,0.008145621071345808
44100,90,oo,700,spectral,134.8482288848636,0.9999966125683896,0.007599906114327915
44100,90,oo,1200,legacy,47.35614567840739,0.9923889378316696,-2311.648004154936
44100,90,oo,1200,synchronous,180.00149235899224,0.9999999999998672,0.014353399947611327
44100,90,oo,1200,spectral,180.00137489936037,0.9999955949327174,0.013223686089401535
44100,220,ah,-1200,legacy,110.19063378182402,0.94759772117475,2.997691325797815
44100,220,ah,-1200,synchronous,110.00030164186771,0.9999351426947957,0.004747381418183656
44100,220,ah,-1200,spectral,110.00031248677462,0.9999672170433797,0.004918063415310879
44100,220,ah,-700,legacy,146.9492368201439,0.9863805266229242,1.377211158330558
44100,220,ah,-700,synchronous,146.83309219898567,0.9990835154573513,0.008350519829394209
44100,220,ah,-700,spectral,146.83299814607534,0.9993619922478636,0.007241589611438655
44100,220,ah,-100,legacy,207.6698067007332,0.9989232685318206,0.14554354566751482
44100,220,ah,-100,synchronous,207.65396922825732,0.9989804555660815,0.01350982545304829
44100,220,ah,-100,spectral,207.65392930202165,0.9989135442055217,0.013176955989913842
44100,220,ah,25,legacy,223.19370576207024,0.99849538648727,-0.04861737191320868
44100,220,ah,25,synchronous,223.20107904983914,0.9986188449567394,0.008573649463081489
44100,220,ah,25,spectral,223.20108324381454,0.9986678409317868,0.008606179561183784
44100,220,ah,100,legacy,233.06701331594158,0.9994016074517275,-0.11043262811108763
44100,220,ah,100,synchronous,233.08503193743852,0.9996712598282781,0.023405467788848996
44100,220,ah,100,spectral,233.08504250619524,0.9996763710984227,0.023483966999666595
44100,220,ah,700,legacy,329.4847133980602,0.9934972195807793,-0.750389794084693
44100,220,ah,700,synchronous,329.63478231032553,0.9996983279687152,0.03794803176077222
44100,220,ah,700,spectral,329.6346783448579,0.9996362757519227,0.037402007507169356
44100,220,ah,1200,legacy,439.72357422142466,0.9834119385464756,-1.0879729716982312
44100,220,ah,1200,synchronous,440.019718336417,0.9996223517860394,0.07758247841606544
44100,220,ah,1200,spectral,440.0204611317466,0.9996438968281086,0.0805049644479224
44100,220,ee,-1200,legacy,30.40555795770714,0.8916546537982162,-2226.1158656023144
44100,220,ee,-1200,synchronous,110.00026082640007,0.9999918380277892,0.004105009175857065
44100,220,ee,-1200,spectral,110.00029720750713,0.9999927741795089,0.00467759146234617
44100,220,ee,-700,legacy,148.27291317131724,0.9546699504238755,16.901852012601854
44100,220,ee,-700,synchronous,146.83323584394267,0.999884146700018,0.010044163375203747
44100,220,ee,-700,spectral,146.8331006804842,0.9999403171976374,0.00845052084668753
44100,220,ee,-100,legacy,207.81782617686483,0.9994548785296626,1.3790645824813847
44100,220,ee,-100,synchronous,207.65423321923822,0.9998887074280426,0.015710745984454814
44100,220,ee,-100,spectral,207.65431886973573,0.9998862866875747,0.016424822575662835
44100,220,ee,25,legacy,223.09496457627057,0.9997160255397998,-0.8146870351262647
44100,220,ee,25,synchronous,223.2008426538664,0.9998458613229166,0.006740069735334052
44100,220,ee,25,spectral,223.20078778016386,0.9998378819170792,0.0063144475341986
44100,220,ee,100,legacy,232.89880056563862,0.9993061392017866,-1.360376914950929
44100,220,ee,100,synchronous,233.08527999615282,0.9999647355846732,0.02524791756054539
